layer,head,mean_importance,imp_shortcut,imp_nuanced
16,10,1.136403,1.361903,1.117791
16,29,1.120624,1.343099,1.112142
16,7,1.118059,1.343219,1.104701
16,19,1.116338,1.340143,1.089996
16,24,1.111865,1.34364,1.091649
16,6,1.11139,1.335983,1.081027
16,3,1.110979,1.334788,1.07972
16,2,1.102856,1.329403,1.090146
16,26,1.102522,1.346138,1.072249
16,5,1.094703,1.320219,1.072638
16,18,1.093139,1.3228,1.070126
16,27,1.092739,1.311797,1.085342
16,13,1.092178,1.316134,1.080312
16,31,1.091138,1.317688,1.081596
16,4,1.086534,1.308772,1.069211
16,25,1.084565,1.299607,1.07965
16,21,1.083199,1.316337,1.044523
16,1,1.082588,1.303965,1.060577
16,20,1.08152,1.306668,1.067259
16,8,1.077011,1.311601,1.048361
16,11,1.076645,1.304433,1.059488
16,28,1.075224,1.28814,1.058133
16,32,1.073999,1.317827,1.054088
16,30,1.073931,1.303586,1.047387
17,16,1.071266,1.298087,1.03999
16,15,1.068088,1.284883,1.046872
16,9,1.066799,1.292239,1.046965
16,17,1.064474,1.296614,1.033235
16,14,1.059479,1.285263,1.032756
16,22,1.054682,1.276278,1.036976
16,23,1.035708,1.263653,1.013317
17,10,1.022995,1.224518,1.005165
17,12,1.013969,1.221526,0.9913
17,24,1.010057,1.217029,0.989239
17,19,1.007961,1.214174,0.989739
17,7,1.006345,1.221557,0.991406
17,26,1.002286,1.231079,0.973845
17,6,0.992,1.194916,0.964481
17,11,0.988779,1.20146,0.970807
17,29,0.988756,1.198921,0.970872
17,2,0.985021,1.188088,0.969213
17,4,0.984681,1.194496,0.967328
17,3,0.984202,1.188606,0.954369
17,18,0.983323,1.192842,0.958257
17,28,0.982487,1.169979,0.977151
17,13,0.981844,1.185928,0.970179
17,5,0.980278,1.193714,0.958673
17,21,0.97953,1.183582,0.950832
17,17,0.975825,1.18842,0.956037
17,31,0.97571,1.172905,0.965436
17,25,0.973304,1.178084,0.963165
17,27,0.97261,1.180097,0.958225
18,16,0.968671,1.19083,0.935911
17,30,0.967881,1.175469,0.94631
17,8,0.966896,1.188896,0.938658
17,20,0.960385,1.168357,0.93947
17,1,0.960018,1.165858,0.943514
17,9,0.958807,1.169771,0.938195
17,32,0.958126,1.173175,0.940282
17,23,0.958065,1.162786,0.944107
17,14,0.952213,1.165442,0.925967
17,22,0.951588,1.162925,0.938638
17,15,0.946508,1.140182,0.929983
18,19,0.927582,1.124887,0.903318
18,24,0.919123,1.121617,0.900023
18,10,0.908855,1.100328,0.896053
18,7,0.908602,1.109327,0.895062
18,3,0.907545,1.107084,0.886623
18,6,0.907494,1.098951,0.887313
18,13,0.907334,1.096415,0.895227
18,12,0.906,1.099145,0.878795
18,26,0.903471,1.117027,0.874908
18,2,0.90264,1.104564,0.883622
18,18,0.899896,1.095459,0.884075
18,28,0.89901,1.079558,0.891687
18,29,0.896872,1.100295,0.88
18,11,0.896426,1.093278,0.881117
18,17,0.895483,1.091785,0.882588
18,4,0.893518,1.096361,0.870753
18,1,0.89282,1.08432,0.885294
18,31,0.890785,1.086715,0.875189
18,22,0.890726,1.09193,0.875958
18,8,0.890309,1.101821,0.865359
18,27,0.889268,1.089792,0.874406
18,5,0.889028,1.091265,0.876363
18,20,0.888296,1.082953,0.874273
18,25,0.88574,1.081985,0.873027
18,32,0.885648,1.078533,0.874983
18,23,0.883082,1.084117,0.868146
18,21,0.882522,1.080524,0.858295
18,30,0.881837,1.0861,0.856929
18,14,0.873174,1.065443,0.859312
18,9,0.868792,1.062087,0.849748
18,15,0.865725,1.053295,0.857549
19,16,0.854785,1.049441,0.836917
19,24,0.835683,1.015967,0.830448
19,19,0.826577,1.004468,0.814424
19,2,0.820414,1.004239,0.810722
19,10,0.81351,0.978978,0.805235
19,13,0.813184,0.978575,0.809911
19,12,0.812682,0.981692,0.80314
19,26,0.810228,1.005371,0.794003
19,6,0.810102,0.980263,0.80114
19,28,0.807804,0.961678,0.803671
19,3,0.80696,0.978435,0.794981
19,7,0.806638,0.984688,0.806514
19,5,0.800878,0.984493,0.790479
19,18,0.800632,0.966544,0.800603
19,1,0.799518,0.974311,0.796655
19,29,0.797532,0.97597,0.794239
19,25,0.797323,0.973811,0.794565
19,31,0.796332,0.971985,0.785297
19,11,0.79545,0.9634,0.800951
19,23,0.794359,0.974381,0.788049
19,21,0.793407,0.968223,0.784856
19,4,0.790663,0.964156,0.783733
19,20,0.789793,0.951068,0.796454
19,8,0.789749,0.966796,0.782629
19,14,0.789448,0.961762,0.787412
19,32,0.789423,0.974492,0.782186
19,30,0.788903,0.969159,0.784283
19,27,0.787992,0.961454,0.78376
19,17,0.78724,0.960967,0.778986
20,16,0.785487,0.966693,0.766148
19,22,0.780861,0.953857,0.77288
19,15,0.77373,0.945752,0.770251
19,9,0.772735,0.944303,0.761763
20,24,0.76768,0.934791,0.760262
20,2,0.764651,0.932522,0.755817
20,19,0.761206,0.936013,0.751894
20,13,0.760575,0.923342,0.757746
20,11,0.749971,0.913459,0.751835
20,3,0.749475,0.911332,0.738263
20,10,0.749385,0.910824,0.7406
20,26,0.747727,0.925173,0.730278
20,1,0.746783,0.915636,0.739988
20,12,0.745669,0.905329,0.736851
21,16,0.742039,0.914781,0.730337
20,6,0.740878,0.905407,0.735417
20,5,0.740719,0.907255,0.729722
20,4,0.739311,0.903693,0.736424
20,14,0.738345,0.896208,0.736395
20,21,0.73737,0.901122,0.733622
20,23,0.736485,0.908052,0.727427
20,18,0.736346,0.889973,0.73288
20,28,0.735173,0.876555,0.729262
20,25,0.734852,0.899002,0.732125
20,29,0.734238,0.904701,0.728366
20,15,0.733337,0.896146,0.728092
20,8,0.73297,0.902213,0.725987
20,7,0.731232,0.89341,0.72696
20,20,0.730159,0.880338,0.744183
20,31,0.730157,0.892838,0.721353
21,2,0.728005,0.88854,0.716685
20,30,0.727515,0.893433,0.725461
20,22,0.724679,0.886373,0.71818
20,17,0.724052,0.885521,0.724455
20,27,0.720973,0.885131,0.716329
20,9,0.720012,0.881593,0.706806
20,32,0.716759,0.891663,0.708436
21,3,0.71544,0.869144,0.707632
21,24,0.715391,0.875291,0.708052
21,26,0.70976,0.876596,0.696269
21,13,0.709185,0.862015,0.710076
21,10,0.707822,0.864395,0.703399
22,16,0.707013,0.874372,0.697388
21,12,0.706857,0.855258,0.700969
21,19,0.706628,0.877288,0.694035
21,1,0.70456,0.86518,0.700077
21,14,0.702617,0.850758,0.705672
21,23,0.699042,0.864075,0.692141
21,8,0.698527,0.859117,0.693508
22,2,0.698298,0.850838,0.689725
21,11,0.696914,0.847134,0.69919
21,6,0.696721,0.849988,0.697903
21,17,0.695183,0.85729,0.696915
21,29,0.694446,0.85753,0.691885
21,18,0.694392,0.840585,0.68878
21,25,0.693443,0.848268,0.686359
21,4,0.69213,0.846859,0.688192
21,22,0.690413,0.844381,0.683278
21,20,0.689133,0.83085,0.702169
21,31,0.688452,0.841673,0.682689
21,21,0.688414,0.835162,0.68701
21,30,0.68821,0.84584,0.684799
21,7,0.686879,0.838375,0.682894
21,28,0.686774,0.826884,0.68394
21,5,0.685461,0.840186,0.675583
21,15,0.684039,0.837734,0.678213
21,9,0.681543,0.835263,0.670514
23,16,0.678938,0.83714,0.675312
22,3,0.677253,0.823509,0.676444
