u_id,true_country,facet,is_shortcut,is_nuanced,commitment_layer,committed,prob_at_commit,prob_at_layer_8,prob_at_layer_30,prob_final,rank_final
1309b373-b885-4aa0-b6f8-7aab4b734ac2,China,clothing,False,False,25,True,0.6983385682106018,0.03960338607430458,0.9677810668945312,0.9952249526977539,0
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,China,traditions,False,False,23,True,0.08922869712114334,0.03997759148478508,0.8696036338806152,0.9516991972923279,0
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,China,traditions,False,False,24,True,0.08948275446891785,0.03127681836485863,0.9645454287528992,0.9939063191413879,0
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,China,traditions,False,False,24,True,0.10395783185958862,0.03724224492907524,0.9396271705627441,0.9906303286552429,0
1bad08e1-1e74-421f-996f-5c435cb367e3,China,traditions,False,False,20,True,0.09457970410585403,0.04510745033621788,0.9917282462120056,0.9968969821929932,0
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,China,traditions,False,False,20,True,0.06591502577066422,0.0437033511698246,0.9796008467674255,0.9941065311431885,0
07dabc78-3e60-46e1-b6e4-14c03b083f61,China,drink,False,False,26,True,0.08285466581583023,0.030415138229727745,0.11320792138576508,0.3453321158885956,0
e8417033-3d23-4eb3-b225-e8d68ff8cde3,China,drink,False,True,25,True,0.1035788357257843,0.03986806422472,0.19088943302631378,0.5115847587585449,0
7469bf5a-e55b-4077-8c23-4f80be8daa32,China,drink,False,True,23,True,0.0703187808394432,0.035003844648599625,0.18626776337623596,0.44916248321533203,0
803df59c-07e6-4459-a5cb-8c2e27237461,China,drink,False,False,20,True,0.06949889659881592,0.041425738483667374,0.9746827483177185,0.9947054982185364,0
b2886064-331e-4c71-a625-d9d2c5cd9421,China,drink,True,False,24,True,0.062169354408979416,0.033433955162763596,0.15032243728637695,0.4139363765716553,0
f009866e-207b-4ed4-b0d2-150b69a5d0b0,China,food,False,False,24,True,0.09566384553909302,0.04575581103563309,0.957180380821228,0.9913555979728699,0
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,China,food,False,False,19,True,0.09461915493011475,0.03549771383404732,0.991569459438324,0.9931575655937195,0
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,China,food,False,True,24,True,0.08565477281808853,0.043325550854206085,0.6061892509460449,0.91120845079422,0
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,China,food,True,False,21,True,0.15141455829143524,0.05009182170033455,0.9985564351081848,0.9983037710189819,0
a8f5c325-4cc4-4371-bd45-5d19156de028,China,food,False,False,20,True,0.0853770300745964,0.031263504177331924,0.9568271636962891,0.9901447296142578,0
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,China,rituals,False,True,25,True,0.09748765081167221,0.04100404307246208,0.16009919345378876,0.4388746917247772,0
22bb7d28-bb29-4a85-af25-85f66ce70d52,China,rituals,False,True,24,True,0.06782233715057373,0.03832142800092697,0.7566220164299011,0.943149745464325,0
4c169dc1-0511-4867-803b-2c5724589072,China,rituals,False,False,21,True,0.09957153350114822,0.04312232881784439,0.9388020038604736,0.982991635799408,0
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,China,rituals,False,False,24,True,0.10249657928943634,0.04245772957801819,0.9351164698600769,0.9876899719238281,0
aa454b8a-ea44-47d8-bfc5-8e0691affc18,China,rituals,False,False,20,True,0.06668629497289658,0.04485469311475754,0.9768219590187073,0.9941884279251099,0
c4ba628f-6ccc-4659-88e0-989cf36c6b66,Canada,drink,False,False,22,True,0.09279847145080566,0.06228964775800705,0.9977015852928162,0.9975624084472656,0
c6e2a507-d64e-4f66-a017-8c4bec7a25aa,Canada,drink,False,False,25,True,0.00978597067296505,0.07275011390447617,0.001012009335681796,0.001691959798336029,3
